Day,Start Hour,Impressions
Sunday,12 AM,"5,837"
Sunday,1 AM,293
Sunday,2 AM,706
Sunday,3 AM,"1,013"
Sunday,4 AM,"1,117"
Sunday,5 AM,"1,055"
Sunday,6 AM,"1,405"
Sunday,7 AM,"3,326"
Sunday,8 AM,"22,585"
Sunday,9 AM,"2,849"
Sunday,10 AM,"1,103"
Sunday,11 AM,"1,221"
Sunday,12 PM,"1,522"
Sunday,1 PM,"3,131"
Sunday,2 PM,809
Sunday,3 PM,"3,851"
Sunday,4 PM,0
Sunday,5 PM,0
Sunday,6 PM,"35,641"
Sunday,7 PM,"23,778"
Sunday,8 PM,"7,436"
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,"50,032"
Monday,1 AM,"7,545"
Monday,2 AM,"3,232"
Monday,3 AM,"2,416"
Monday,4 AM,"2,277"
Monday,5 AM,"2,770"
Monday,6 AM,"3,695"
Monday,7 AM,"3,249"
Monday,8 AM,"2,659"
Monday,9 AM,"2,550"
Monday,10 AM,"3,198"
Monday,11 AM,"4,220"
Monday,12 PM,"4,313"
Monday,1 PM,"2,583"
Monday,2 PM,"2,877"
Monday,3 PM,"2,094"
Monday,4 PM,995
Monday,5 PM,"1,280"
Monday,6 PM,"63,072"
Monday,7 PM,"59,401"
Monday,8 PM,"13,682"
Monday,9 PM,"13,445"
Monday,10 PM,"9,448"
Monday,11 PM,0
Tuesday,12 AM,"51,820"
Tuesday,1 AM,"71,413"
Tuesday,2 AM,"14,730"
Tuesday,3 AM,"17,466"
Tuesday,4 AM,"15,163"
Tuesday,5 AM,"6,312"
Tuesday,6 AM,"12,213"
Tuesday,7 AM,"24,084"
Tuesday,8 AM,"15,644"
Tuesday,9 AM,"11,043"
Tuesday,10 AM,"9,358"
Tuesday,11 AM,"7,838"
Tuesday,12 PM,"6,932"
Tuesday,1 PM,"6,554"
Tuesday,2 PM,"6,580"
Tuesday,3 PM,"6,231"
Tuesday,4 PM,"5,617"
Tuesday,5 PM,"5,267"
Tuesday,6 PM,122
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,"18,792"
Tuesday,11 PM,"20,265"
Wednesday,12 AM,"24,222"
Wednesday,1 AM,"13,626"
Wednesday,2 AM,"6,894"
Wednesday,3 AM,"5,873"
Wednesday,4 AM,"4,233"
Wednesday,5 AM,"4,568"
Wednesday,6 AM,"7,745"
Wednesday,7 AM,"8,845"
Wednesday,8 AM,"8,424"
Wednesday,9 AM,"8,730"
Wednesday,10 AM,"8,064"
Wednesday,11 AM,"8,242"
Wednesday,12 PM,"8,086"
Wednesday,1 PM,"10,471"
Wednesday,2 PM,"9,071"
Wednesday,3 PM,"7,323"
Wednesday,4 PM,"13,043"
Wednesday,5 PM,"62,669"
Wednesday,6 PM,"36,051"
Wednesday,7 PM,390
Wednesday,8 PM,0
Wednesday,9 PM,0
Wednesday,10 PM,0
Wednesday,11 PM,0
Thursday,12 AM,"6,881"
Thursday,1 AM,"14,027"
Thursday,2 AM,"13,750"
Thursday,3 AM,"11,875"
Thursday,4 AM,"11,028"
Thursday,5 AM,"12,663"
Thursday,6 AM,"20,645"
Thursday,7 AM,"28,267"
Thursday,8 AM,"31,608"
Thursday,9 AM,"24,325"
Thursday,10 AM,"8,115"
Thursday,11 AM,181
Thursday,12 PM,"88,616"
Thursday,1 PM,"23,824"
Thursday,2 PM,0
Thursday,3 PM,"12,394"
Thursday,4 PM,"7,307"
Thursday,5 PM,74
Thursday,6 PM,0
Thursday,7 PM,0
Thursday,8 PM,0
Thursday,9 PM,0
Thursday,10 PM,0
Thursday,11 PM,0
Friday,12 AM,"9,652"
Friday,1 AM,"2,799"
Friday,2 AM,"1,427"
Friday,3 AM,"1,152"
Friday,4 AM,"1,132"
Friday,5 AM,"1,609"
Friday,6 AM,"1,192"
Friday,7 AM,"1,220"
Friday,8 AM,"1,042"
Friday,9 AM,"1,297"
Friday,10 AM,"4,396"
Friday,11 AM,"37,318"
Friday,12 PM,"56,318"
Friday,1 PM,"82,558"
Friday,2 PM,"5,472"
Friday,3 PM,267
Friday,4 PM,"1,130"
Friday,5 PM,597
Friday,6 PM,780
Friday,7 PM,"1,197"
Friday,8 PM,"21,770"
Friday,9 PM,"9,853"
Friday,10 PM,"5,504"
Friday,11 PM,"2,171"
Saturday,12 AM,"9,817"
Saturday,1 AM,"3,801"
Saturday,2 AM,"3,360"
Saturday,3 AM,"2,214"
Saturday,4 AM,"1,291"
Saturday,5 AM,"1,377"
Saturday,6 AM,"1,917"
Saturday,7 AM,"2,691"
Saturday,8 AM,"3,137"
Saturday,9 AM,"3,022"
Saturday,10 AM,"7,049"
Saturday,11 AM,"6,510"
Saturday,12 PM,240
Saturday,1 PM,0
Saturday,2 PM,116
Saturday,3 PM,0
Saturday,4 PM,0
Saturday,5 PM,0
Saturday,6 PM,0
Saturday,7 PM,0
Saturday,8 PM,0
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,0
